taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
2891766	Impatiens L.	2891766	Impatiens L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Balsaminaceae	6699	Impatiens	2891766		
2974786	Vicia sepium L.	2974786	Vicia sepium L.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia sepium	2974786
5082345	Contarinia tiliarum (Kieffer, 1890)	5082345	Contarinia tiliarum (Kieffer, 1890)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338	Contarinia	1600513	Contarinia tiliarum	5082345
5334218	Fumaria capreolata L.	5334218	Fumaria capreolata L.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Papaveraceae	2422	Fumaria	2888567	Fumaria capreolata	5334218
7809784	Apium nodiflorum (L.) Lag.	3631293	Helosciadium nodiflorum W.D.J.Koch	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Helosciadium	6026485	Helosciadium nodiflorum	3631293
1047536	Leptinotarsa decemlineata (Say, 1824)	1047536	Leptinotarsa decemlineata (Say, 1824)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Leptinotarsa	7587586	Leptinotarsa decemlineata	1047536
2426629	Pelophylax Fitzinger, 1843	2426629	Pelophylax Fitzinger, 1843	3	GENUS	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Ranidae	6746	Pelophylax	2426629		
3083926	Chenopodium rubrum L.	7725469	Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Oxybasis	7339868	Oxybasis rubra	7725469
3085810	Spergula arvensis L.	3085810	Spergula arvensis L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Spergula	3085807	Spergula arvensis	3085810
3152047	Tilia cordata Mill.	3152047	Tilia cordata Mill.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Tilia	3152041	Tilia cordata	3152047
1309671	Cynips divisa Hartig, 1840	1309671	Cynips divisa Hartig, 1840	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Cynipidae	4339	Cynips	1309669	Cynips divisa	1309671
1595217	Dasineura urticae (Perris, 1840)	1595217	Dasineura urticae (Perris, 1840)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338	Dasineura	1594760	Dasineura urticae	1595217
2875818	Carpinus betulus L.	2875818	Carpinus betulus L.	33	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Betulaceae	4688	Carpinus	2875770	Carpinus betulus	2875818
3034742	Daucus carota L.	3034742	Daucus carota L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Daucus	3034740	Daucus carota	3034742
5359250	Trifolium micranthum Viv.	5359250	Trifolium micranthum Viv.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Trifolium	2973363	Trifolium micranthum	5359250
1340301	Bombus lapidarius (Linnaeus, 1758)	1340301	Bombus lapidarius (Linnaeus, 1758)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus lapidarius	1340301
5376075	Alliaria petiolata (M.Bieb.) Cavara & Grande	5376075	Alliaria petiolata (M.Bieb.) Cavara & Grande	29	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Alliaria	3050645	Alliaria petiolata	5376075
