gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2851211404	StillImage	image/jpeg	https://static.inaturalist.org/photos/88349866/original.jpeg?1596629790	https://www.inaturalist.org/photos/88349866					2020-06-16T05:46:52Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2851025722	StillImage	image/jpeg	https://static.inaturalist.org/photos/83569065/original.jpeg?1594382902	https://www.inaturalist.org/photos/83569065					2020-07-10T20:18:01Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2851022721	StillImage	image/jpeg	https://static.inaturalist.org/photos/83053848/original.jpeg?1594127872	https://www.inaturalist.org/photos/83053848					2020-07-07T21:32:43Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2851017320	StillImage	image/jpeg	https://static.inaturalist.org/photos/9503909/original.jpeg?1501783668	https://www.inaturalist.org/photos/9503909					2017-07-23T06:42:43Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2850912448	StillImage	image/jpeg	https://static.inaturalist.org/photos/89633453/original.jpeg?1597262212	https://www.inaturalist.org/photos/89633453					2020-08-12T20:45:39Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850792335	StillImage	image/jpeg	https://static.inaturalist.org/photos/89398459/original.jpeg?1597144224	https://www.inaturalist.org/photos/89398459					2020-08-11T19:56:23Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850792335	StillImage	image/jpeg	https://static.inaturalist.org/photos/89398472/original.jpeg?1597144229	https://www.inaturalist.org/photos/89398472					2020-08-11T19:56:17Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850792335	StillImage	image/jpeg	https://static.inaturalist.org/photos/89398491/original.jpeg?1597144241	https://www.inaturalist.org/photos/89398491					2020-08-11T19:56:25Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850792335	StillImage	image/jpeg	https://static.inaturalist.org/photos/89398480/original.jpeg?1597144235	https://www.inaturalist.org/photos/89398480					2020-08-11T19:56:14Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850746481	StillImage	image/jpeg	https://static.inaturalist.org/photos/89562522/original.jpeg?1597229268	https://www.inaturalist.org/photos/89562522					2020-08-12T19:45:04Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850746481	StillImage	image/jpeg	https://static.inaturalist.org/photos/89563090/original.jpeg?1597229720	https://www.inaturalist.org/photos/89563090					2020-08-12T19:53:11Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850746481	StillImage	image/jpeg	https://static.inaturalist.org/photos/89562540/original.jpeg?1597229278	https://www.inaturalist.org/photos/89562540					2020-08-12T19:44:59Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850746481	StillImage	image/jpeg	https://static.inaturalist.org/photos/89562509/original.jpeg?1597229258	https://www.inaturalist.org/photos/89562509					2020-08-12T19:44:52Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850746481	StillImage	image/jpeg	https://static.inaturalist.org/photos/89562499/original.jpeg?1597229248	https://www.inaturalist.org/photos/89562499					2020-08-12T19:46:32Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850746481	StillImage	image/jpeg	https://static.inaturalist.org/photos/89562561/original.jpeg?1597229293	https://www.inaturalist.org/photos/89562561					2020-08-12T19:45:05Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850688849	StillImage	image/jpeg	https://static.inaturalist.org/photos/86768228/original.jpeg?1595863184	https://www.inaturalist.org/photos/86768228					2020-07-22T19:22:10Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2850688849	StillImage	image/jpeg	https://static.inaturalist.org/photos/86768239/original.jpeg?1595863192	https://www.inaturalist.org/photos/86768239					2020-07-22T19:22:29Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2850615230	StillImage	image/jpeg	https://static.inaturalist.org/photos/88174478/original.jpeg?1596541897	https://www.inaturalist.org/photos/88174478					2020-08-04T20:09:10Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850615230	StillImage	image/jpeg	https://static.inaturalist.org/photos/88174484/original.jpeg?1596541904	https://www.inaturalist.org/photos/88174484					2020-08-04T20:09:08Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2850573322	StillImage	image/jpeg	https://static.inaturalist.org/photos/10450214/original.jpeg?1505412713	https://www.inaturalist.org/photos/10450214					2017-09-13T19:39:38Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2848555521	StillImage	image/png	https://www.xeno-canto.org/sounds/uploaded/OYTNUVPRZS/ffts/XC135198-large.png			Sonogram of the first ten seconds of the sound recording				Stichting Xeno-canto voor Natuurgeluiden			http://creativecommons.org/licenses/by-nc-sa/3.0/	Stichting Xeno-canto voor Natuurgeluiden
2848555521	Sound	audio/mpeg	https://www.xeno-canto.org/sounds/uploaded/OYTNUVPRZS/XC135198-13-05-27-10-19-49%20rougegorge%20meise.mp3			93 s				Franck HIDVEGI			http://creativecommons.org/licenses/by-nc-sa/3.0/	Franck HIDVEGI
2826506373	StillImage	image/jpeg	https://static.inaturalist.org/photos/86768424/original.jpeg?1595863272	https://www.inaturalist.org/photos/86768424					2020-07-27T19:45:13Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2826506373	StillImage	image/jpeg	https://static.inaturalist.org/photos/86768440/original.jpeg?1595863278	https://www.inaturalist.org/photos/86768440					2020-07-27T19:46:33Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2826275621	StillImage	image/jpeg	https://static.inaturalist.org/photos/82854900/original.jpeg?1594032124	https://www.inaturalist.org/photos/82854900					2020-07-06T18:28:50Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2826274306	StillImage	image/jpeg	https://static.inaturalist.org/photos/86768263/original.jpeg?1595863202	https://www.inaturalist.org/photos/86768263					2020-07-27T19:32:17Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2826274306	StillImage	image/jpeg	https://static.inaturalist.org/photos/86768282/original.jpeg?1595863212	https://www.inaturalist.org/photos/86768282					2020-07-27T19:32:47Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2826247663	StillImage	image/jpeg	https://static.inaturalist.org/photos/87084206/original.jpeg?1596017837	https://www.inaturalist.org/photos/87084206					2020-07-29T18:52:14Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2826191603	StillImage	image/jpeg	https://static.inaturalist.org/photos/82855055/original.jpeg?1594032203	https://www.inaturalist.org/photos/82855055					2020-07-06T18:37:43Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2823329407	StillImage	image/jpeg	https://static.inaturalist.org/photos/72625369/original.jpeg?1589390919	https://www.inaturalist.org/photos/72625369					2020-05-13T21:54:31Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2823116483	StillImage	image/jpeg	https://static.inaturalist.org/photos/82572202/original.jpg?1593900454	https://www.inaturalist.org/photos/82572202					2020-07-02T09:56:41Z	Sonja Deneve		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonja Deneve
2823114496	StillImage	image/jpeg	https://static.inaturalist.org/photos/82571917/original.jpg?1593900334	https://www.inaturalist.org/photos/82571917					2020-07-02T09:17:03Z	Sonja Deneve		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonja Deneve
2823114496	StillImage	image/jpeg	https://static.inaturalist.org/photos/82571928/original.jpg?1593900340	https://www.inaturalist.org/photos/82571928					2020-07-02T09:17:03Z	Sonja Deneve		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonja Deneve
2823114496	StillImage	image/jpeg	https://static.inaturalist.org/photos/82571950/original.jpg?1593900349	https://www.inaturalist.org/photos/82571950					2020-07-02T09:17:03Z	Sonja Deneve		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonja Deneve
2818769636	StillImage	image/jpeg	https://static.inaturalist.org/photos/83569057/original.jpeg?1594382898	https://www.inaturalist.org/photos/83569057					2020-07-10T20:16:12Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2818758561	StillImage	image/jpeg	https://static.inaturalist.org/photos/83548198/original.jpeg?1594365322	https://www.inaturalist.org/photos/83548198					2020-07-08T16:58:30Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2818731592	StillImage	image/jpeg	https://static.inaturalist.org/photos/83569030/original.jpeg?1594382880	https://www.inaturalist.org/photos/83569030					2020-07-10T20:09:28Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2818726586	StillImage	image/jpeg	https://static.inaturalist.org/photos/83548193/original.jpeg?1594365318	https://www.inaturalist.org/photos/83548193					2020-07-07T13:07:56Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2818723622	StillImage	image/jpeg	https://static.inaturalist.org/photos/83569048/original.jpeg?1594382893	https://www.inaturalist.org/photos/83569048					2020-07-10T20:15:23Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
