id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3729559,2016/07/23 1:25 PM CEST,2016-07-23,2016-07-23 11:25:00 UTC,Paris,63000,qgroom,2016-07-23 15:02:01 UTC,2017-11-16 21:31:07 UTC,research,CC0,http://www.inaturalist.org/observations/3729559,https://static.inaturalist.org/photos/4332275/medium.jpg?1469286068,,"",on Lavandula angustifolia,1,0,false,,"Tervuren, Belgium",50.835884,4.53494,6,,,false,,,Painted Lady,Vanessa cardui,Painted Lady,Insecta,48548
4877012,2017/01/01 11:18 AM CET,2017-01-01,2017-01-01 10:18:00 UTC,Paris,63000,qgroom,2017-01-01 11:32:31 UTC,2020-12-30 07:18:31 UTC,research,CC0,https://www.inaturalist.org/observations/4877012,https://static.inaturalist.org/photos/5928447/medium.jpeg?1483270320,,"",,2,0,false,,"Tervuren, Belgium",50.8359404889,4.5350682735,15,,open,false,,,European Robin,Erithacus rubecula,European Robin,Aves,13094
4877014,2017/01/01 10:31 AM CET,2017-01-01,2017-01-01 09:31:00 UTC,Paris,63000,qgroom,2017-01-01 11:33:33 UTC,2020-08-07 02:32:27 UTC,research,CC0,https://www.inaturalist.org/observations/4877014,https://static.inaturalist.org/photos/5928449/medium.jpeg?1483270380,,"","",1,0,false,,"Tervuren, Belgium",50.8359066103,4.5351326466,15,,open,false,,,Eurasian Blackbird,Turdus merula,Eurasian Blackbird,Aves,12716
5021979,2017/01/29 4:21 PM CET,2017-01-29,2017-01-29 15:21:00 UTC,Paris,63000,qgroom,2017-01-29 15:08:25 UTC,2020-12-04 18:27:31 UTC,research,CC0,https://www.inaturalist.org/observations/5021979,https://static.inaturalist.org/photos/6145403/medium.jpeg?1485702433,,"",,2,0,false,,"Tervuren, Belgium",50.8358253015,4.5350682735,15,,,false,,,European Bramble Complex,Rubus fruticosus,European bramble complex,Plantae,55911
5021980,2017/01/29 4:24 PM CET,2017-01-29,2017-01-29 15:24:00 UTC,Paris,63000,qgroom,2017-01-29 15:08:25 UTC,2017-11-16 21:31:09 UTC,research,CC0,https://www.inaturalist.org/observations/5021980,https://static.inaturalist.org/photos/6145406/medium.jpeg?1485702457,,"",,1,0,false,,"Tervuren, Belgium",50.8358253015,4.5350682735,15,,,false,,,Grey-cushioned Grimmia,Grimmia pulvinata,Grey-cushioned Grimmia,Plantae,56117
5021981,2017/01/29 4:23 PM CET,2017-01-29,2017-01-29 15:23:00 UTC,Paris,63000,qgroom,2017-01-29 15:08:25 UTC,2017-11-16 21:31:15 UTC,research,CC0,https://www.inaturalist.org/observations/5021981,https://static.inaturalist.org/photos/6145404/medium.jpeg?1485702440,,"",,1,0,false,,"Tervuren, Belgium",50.8358253015,4.5350682735,15,,,false,,,Square Gooseneck Moss,Rhytidiadelphus squarrosus,Square Gooseneck Moss,Plantae,123754
5280125,2017-03-11 8:31:41 a.m. CET,2017-03-11,2017-03-11 07:31:41 UTC,Paris,63000,qgroom,2017-03-11 07:33:31 UTC,2017-11-16 21:31:08 UTC,research,CC0,https://www.inaturalist.org/observations/5280125,https://static.inaturalist.org/photos/6528361/medium.jpeg?1489217621,,"","",1,0,false,2,"louis pelserssquare 1, Tervuren",50.835901,4.534532,177,,,false,,,English Plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
5280968,2017/03/11 3:44 PM CET,2017-03-11,2017-03-11 14:44:00 UTC,Paris,63000,qgroom,2017-03-11 14:36:22 UTC,2018-04-27 15:54:22 UTC,needs_id,CC0,https://www.inaturalist.org/observations/5280968,https://static.inaturalist.org/photos/6529656/medium.jpeg?1489242945,,"","",0,0,false,,"Louis Pelserssquare 1, 3080 Tervuren, Belgium",50.8358913,4.5345418,54,,,false,,,Bumble Bees,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516
5280969,2017/03/11 3:46 PM CET,2017-03-11,2017-03-11 14:46:00 UTC,Paris,63000,qgroom,2017-03-11 14:36:22 UTC,2017-11-16 21:29:39 UTC,research,CC0,https://www.inaturalist.org/observations/5280969,https://static.inaturalist.org/photos/6529653/medium.jpeg?1489242939,,"","",1,0,false,,"Louis Pelserssquare 1, 3080 Tervuren, Belgium",50.8358913,4.5345418,54,,,false,,,Tree Bumblebee,Bombus hypnorum,Tree Bumble Bee,Insecta,61803
5288557,2017-03-12 1:24:11 p.m. CET,2017-03-12,2017-03-12 12:24:11 UTC,Paris,63000,qgroom,2017-03-12 12:25:21 UTC,2019-09-16 06:37:35 UTC,research,CC0,https://www.inaturalist.org/observations/5288557,https://static.inaturalist.org/photos/6541438/medium.jpeg?1489321547,,,,2,0,false,2,Leuvensesteenweg 98 3080 Tervuren,50.83594698,4.53514751,10,,,false,,,Comma,Polygonia c-album,European Comma,Insecta,56225
